25.5764731,-80.3752892,Cutler Ridge,SWC US 1 & SW 203rd,20500 SW 112th Ave,Miami,FL,33189-2296,Miami-Dade County
25.6732985,-80.3213675,Dadeland South,NEC US 1 & SW 104th St,7800 SW 104th St,Miami,FL,33156-2631,Miami-Dade County
25.6856162,-80.4377348,Kendall,NEC Kendall & S Hammocks Blvd,15005 SW 88th St,Miami,FL,33196-1314,Miami-Dade County
25.6934918,-80.3057495,Dadeland,SWC US 1 & Snapper Creek Expwy,8350 S Dixie Hwy,Miami,FL,33143-7714,Miami-Dade County
25.7360325,-80.3206067,Bird Road,NWC Bird Road & Rte 826,7795 SW 40th St,Miami,FL,33155-3546,Miami-Dade County
25.7688458,-80.3602399,Miami Flagler,NEC W Flagler and NW 102nd St,10101 W Flagler St,Miami,FL,33174-1830,Miami-Dade County
25.8079606,-80.1939287,Miami Central,SEC N Miami Ave & NW 36th St,3401 N Miami Ave,Miami,FL,33127-3500,Miami-Dade County
25.8533285,-80.3175687,Hialeah,SEC W 18th Ave & W 37th St,1750 W 37th St,Hialeah,FL,33012-4687,Miami-Dade County
25.9063087,-80.1563533,North Miami,SEC Biscayne Blvd & NE 140th St,14075 Biscayne Blvd,North Miami Beach,FL,33181-1629,Miami-Dade County
25.9403379,-80.2907081,Miami Lakes,NEC Miami Gardens Dr & NW 57th Ave,5601 NW 183rd St,Miami Gardens,FL,33055-2305,Miami-Dade County
25.9690144,-97.5101269,Brownsville North,NEC US Hwy 77 & Morrison Rd,301 E Morrison Rd,Brownsville,TX,78526-3366,Cameron County
25.9714975,-80.1404645,Aventura,SEC NE 213 St & Biscayne Blvd,21265 Biscayne Blvd,Aventura,FL,33180-1241,Miami-Dade County
25.9805959,-80.3718846,Miramar,NEC Miramar Pkwy & SW 172nd Av,16901 Miramar Pkwy,Miramar,FL,33027-4528,Broward County
26.009136,-80.299001,Pembroke Pines,NWC Pines Blvd & Hiatus,11253 Pines Blvd,Pembroke Pines,FL,33026-4118,Broward County
26.0139282,-80.1739903,Hollywood,NEC Hollywood Blvd & Park Rd,3251 Hollywood Blvd,Hollywood,FL,33021-6904,Broward County
26.0484733,-80.2498554,Davie,NEC Stirling Rd & University Dr,5800 S University Dr,Davie,FL,33328-6102,Broward County
26.1177145,-80.2586361,Plantation,SWC Broward Blvd & University Dr,8201 Federated West Roadway,Plantation,FL,33324-2719,Broward County
26.1491969,-80.324787,Sawgrass,NWC W Sunrise Blvd & Flamingo Rd,12801 W Sunrise Blvd,Sunrise,FL,33323-4020,Broward County
26.1689265,-80.1157681,Ft Lauderdale,NEC US 1 & Oakland Park Blvd,3200 N Federal Hwy,Fort Lauderdale,FL,33306-1062,Broward County
26.1826367,-97.7222624,Harlingen,NWC Grant & Dixieland Rd,1002 Dixieland Rd,Harlingen,TX,78552-5913,Cameron County
26.1860057,-98.2133459,McAllen,SEC US 83 Expwy & McColl Rd,708 E Expressway 83,McAllen,TX,78503-1609,Hidalgo County
26.1912233,-80.2537233,Lauderhill,SWC University Dr & Commercial Blvd,7730 W Commercial Blvd,Lauderhill,FL,33351-4301,Broward County
26.1976885,-98.2830312,Mission,NEC US Hwy 83 & Sharyland Rd,2427 E Expressway 83,Mission,TX,78572-8354,Hidalgo County
26.2090335,-81.7712607,Naples,SWC Pine Ridge Rd & Airport-Pu,2324 Pine Ridge Rd,Naples,FL,34109-2006,Collier County
26.2447959,-98.2536995,McAllen Northwest,NEC Nolana Ave & N Ware Rd,3600 Nolana Ave,McAllen,TX,78504-4594,Hidalgo County
26.2686884,-98.2160348,McAllen North,NEC 10th St & Trenton Rd,7400 N 10th St,Mcallen,TX,78504-7700,Hidalgo County
26.2701692,-81.7396112,Naples North,SEC I-75 & Immokalee Rd,2415 Tarpon Bay Blvd,Naples,FL,34119-8764,Collier County
26.2844584,-80.2045555,Coral Springs,SWC US 441 & Wiles Rd,4400 N State Rd 7,Coral Springs,FL,33073-3353,Broward County
26.2966283,-80.2525544,Coral Springs NW,SWC Westview Dr & University Dr,9600 Westview Dr,Coral Springs,FL,33076-2514,Broward County
26.3014721,-80.0928948,Deerfield Beach,NEC US 1 & 13th Ct,1200 S Federal Hwy,Deerfield Beach,FL,33441-7037,Broward County
26.3199826,-80.1512194,Deerfield Beach W,NEC Powerline Rd & Hillsboro Blvd,3599 W Hillsboro Blvd,Deerfield Beach,FL,33442-9404,Broward County
26.3552768,-80.2051127,West Boca Raton,NWC Hwy 441/7 & Palmetto Park,21637 State Road 7,Boca Raton,FL,33428-1843,Palm Beach County
26.4066905,-81.8059054,Coconut Point,NEC US 41 & Coconut Rd,8040 Mediterranean Dr,Estero,FL,33928-8304,Lee County
26.4370841,-80.0851471,Delray Beach,SEC I-95 & Linton Blvd,1200 Linton Blvd,Delray Beach,FL,33444-1115,Palm Beach County
26.4832538,-81.7871934,Lee County,SEC I-75 & Alico Rd,10000 Gulf Center Dr,Fort Myers,FL,33913-8961,Lee County
26.5097001,-81.9451144,Fort Myers SW,NWC San Carlos Blvd & Kelly Rd,15880 San Carlos Blvd,Ft Myers,FL,33908-3378,Lee County
26.5253861,-80.1655882,Boynton Beach West,SWC Boynton Beach & Hagen Ranch Rd,10201 Hagen Ranch Rd,Boynton Beach,FL,33437-3758,Palm Beach County
26.5336858,-80.0878451,Boynton Beach SE,NEC Congress Ave & Old Boynton Rd,650 N Congress Ave,Boynton Beach,FL,33426-3445,Palm Beach County
26.5431797,-81.8695818,Ft Myers,SEC Daniels Rd & US 41,13711 S Tamiami Trl,Fort Myers,FL,33912-1649,Lee County
